"Title: Life Expectancy at Birth (in years) | The Henry J. Kaiser Family Foundation"
"Timeframe: 2010-2015"
"Location","Life Expectancy at Birth (years)",Footnotes
"United States","78.7"
"Alabama","75.5"
"Alaska","78.8"
"Arizona","79.9"
"Arkansas","76"
"California","81.3"
"Colorado","80.5"
"Connecticut","80.9"
"Delaware","78.7"
"District of Columbia","78.5"
"Florida","80.1"
"Georgia","77.7"
"Hawaii","82"
"Idaho","79.4"
"Illinois","79.3"
"Indiana","77.4"
"Iowa","79.6"
"Kansas","78.6"
"Kentucky","75.9"
"Louisiana","76"
"Maine","N/A","1"
"Maryland","79.6"
"Massachusetts","80.7"
"Michigan","78.2"
"Minnesota","81"
"Mississippi","74.9"
"Missouri","77.6"
"Montana","78.6"
"Nebraska","79.6"
"Nevada","78.4"
"New Hampshire","80.1"
"New Jersey","80.5"
"New Mexico","78.4"
"New York","81"
"North Carolina","78.1"
"North Dakota","79.7"
"Ohio","77.6"
"Oklahoma","75.8"
"Oregon","79.6"
"Pennsylvania","78.6"
"Rhode Island","79.9"
"South Carolina","77"
"South Dakota","79.4"
"Tennessee","76.3"
"Texas","78.8"
"Utah","79.8"
"Vermont","80"
"Virginia","79.4"
"Washington","80.3"
"West Virginia","75.3"
"Wisconsin","N/A","1"
"Wyoming","78.8"

"Notes"
"State-level estimates are based on pooled 2011â€“2015 National Vital Statistics System mortality and birth data, and midperiod 2013 postcensal population estimates."

"Sources"
"Arias E, Escobedo LA, Kennedy J, Fu C, Cisewski J. U.S. small-area life expectancy estimates project: Methodology and results summary, National Center for Health Statistics, Vital Health Stat 2(181), 2018, accessed [here](https://www.cdc.gov/nchs/data/series/sr_02/sr02_181.pdf)."


Footnotes
"1. Data for Maine and Wisconsin are not available."
